Ticker,EBIT,EV,EY,ROC,rank_EY,rank_ROC,score,out_in
ZBAO,19611101.0,55895229.09232944,0.3508546492868968,0.2751845464137019,98.0,170.0,268.0,in
GMM,13180031.0,46894910.91018629,0.2810546121996597,0.2835357705133129,110.0,161.0,271.0,in
CGTL,5188096.0,29524563.141335487,0.1757213468380324,0.3806616037457935,158.0,114.0,272.0,in
SDOT,10281000.0,9022049.422721865,1.1395415296781122,0.2313664596273291,65.0,211.0,276.0,in
BTM,24151000.0,133596213.6872313,0.1807760813980933,0.3504360317483349,152.0,126.0,278.0,in
HXHX,4782741.0,10998932.032782556,0.4348368537731606,0.2510007906192099,87.0,191.0,278.0,in
BYAH,793714.0,5125646.533696502,0.1548514894232457,0.4578602377000904,177.0,102.0,279.0,in
CHRS,55665000.0,316762542.25006306,0.1757310053284525,0.3305738498357968,157.0,132.0,289.0,in
WXM,1477373.0,6796510.295020103,0.2173722889940285,0.277675646588788,122.0,167.0,289.0,in
GTEC,16751156.0,28652320.044722915,0.5846352397939646,0.2300886380373922,78.0,215.0,293.0,in
DJCO,151468000.0,792055895.1949463,0.1912339784589566,0.2922727220101805,144.0,156.0,300.0,in
KARO,1297205000.0,1100052017.6418304,1.179221508798106,0.2114252996158111,64.0,239.0,303.0,in
BLBD,176766000.0,1353517014.0938685,0.1305975456232728,0.3556681428660535,209.0,125.0,334.0,in
KPRX,5681184.0,4319525.860453129,1.3152332416882508,0.1860354907282763,62.0,273.0,335.0,in
MGN,7653465.0,24870612.0,0.3077312693390898,0.2139052012865953,104.0,235.0,339.0,in
IMXI,95016000.0,511513136.3879223,0.185754760221723,0.2505405490924048,148.0,192.0,340.0,in
NTES,29583990000.0,52480601334.72711,0.5637128624214883,0.1903914639415313,79.0,263.0,342.0,in
MB,45804946.0,200469001.27205655,0.2284889220245981,0.2205784672669259,119.0,227.0,346.0,in
MRX,833900000.0,6409497287.43055,0.1301038073040975,0.3190130068859985,211.0,138.0,349.0,in
GAMB,36948000.0,202082552.43397716,0.1828361704411437,0.2378953332646543,149.0,205.0,354.0,in
CNVS,8235000.0,27885872.123692278,0.2953108284895065,0.2010645310935859,106.0,251.0,357.0,in
CYCU,2439103.0,20729942.955698013,0.1176608640560473,0.3562657101212143,234.0,123.0,357.0,in
MTEX,4019000.0,10504448.0,0.3825998281870689,0.1894682255327173,91.0,268.0,359.0,in
CCSI,156224000.0,977287656.6499232,0.1598546742476267,0.248179055444088,172.0,197.0,369.0,in
MDBH,12095664.0,16975857.679725647,0.712521524873875,0.1691306652061962,73.0,298.0,371.0,in
NATH,36867000.0,399858465.24009705,0.0922001238059647,0.8414625795996622,301.0,76.0,377.0,in
PBYI,36552000.0,311744849.3190727,0.117249731887595,0.2988325321298931,235.0,151.0,386.0,in
CROX,1019849000.0,6190595194.5,0.1647416715126324,0.2205790495009417,166.0,226.0,392.0,in
JXG,3831927.0,10831235.006030085,0.3537848636712847,0.1662646358622296,96.0,306.0,402.0,in
LFVN,12199000.0,70732403.972929,0.1724669220159525,0.2068012680330231,161.0,243.0,404.0,in
GTX,503000000.0,4993090418.591013,0.1007392131588797,0.3355570380253502,280.0,130.0,410.0,in
RCMT,22405000.0,186029739.8962288,0.1204377322276425,0.2462466753126854,229.0,198.0,427.0,in
EMBC,243600000.0,1944949900.0,0.1252474421063493,0.2241855328547763,217.0,221.0,438.0,in
HRMY,209300000.0,1889008198.957466,0.1107988838351848,0.2535817052854763,250.0,188.0,438.0,in
JL,3296102.0,15404310.436502457,0.2139727067684555,0.1602044526613651,125.0,319.0,444.0,in
LULU,2505697000.0,24699151888.24216,0.1014487060664142,0.2796369859612177,278.0,166.0,444.0,in
TRMB,2096600000.0,19855562029.542404,0.1055925788895092,0.2616759441851177,265.0,179.0,444.0,in
VSNT,1665000000.0,4800439772.539574,0.3468432224740039,0.1435097397000517,99.0,357.0,456.0,in
EEFT,529400000.0,3275749508.8389816,0.1616118688475769,0.1724261472820245,168.0,291.0,459.0,in
